ACC,200,"ACC 200 - Introduction to Financial Accounting3 hrs.    The interpretation and use of financial accounting information.     "
ACC,220,"ACC 220 - Introduction to Managerial Accounting3 hrs. Prerequisite(s): ACC 200 .   The use of accounting information in managerial decision-making.     "
ACC,309,"ACC 309 - Accounting Information Systems3 hrs. Prerequisite(s): MIS 300  and a C or better in ACC 323 .    An overview of the design, control, and operation of accounting information systems, including their related information technology infrastructure.  Emphasis is placed on identifying the information needs of decision-makers and developing appropriate business process internal controls in the design, development, and operation of these accounting information applications.     "
ACC,311,"ACC 311 - Introduction to Professional Accountancy1 hr. Prerequisite(s): A grade of B or better in ACC 200 .   This course is designed to assist students in exploring career opportunities in the accounting profession, prepare students for the professional job search and interview process, and develop professional skills needed in the workplace.     "
ACC,312,"ACC 312 - Accounting Analytics3 hrs. Prerequisite(s): BA 260  and a minimum C grade or better in ACC 323 .   An overview of the data analytics process in accounting: asking appropriate accounting questions, finding and mastering appropriate accounting data to address those questions, performing test analysis and communicating the results of the data through data visualizations. Extensive hands-on, experiential learning using tools such as Excel and Tableau in exercises will be a part of the course.       "
ACC,320,"ACC 320 - Cost Accounting3 hrs. Prerequisite(s): A grade of C or better in ACC 200  and ACC 220 .   Examines the concepts and processes underlying cost accounting systems for managerial decision-making, control, and performance evaluation. Topics include the identification and assignment of product costs, methods for estimating costs, cost-volume-profit analysis, budgeting and variance analysis, activity-based costing, process costing, allocating joint costs, and estimating pricing to maximize revenue. This course builds on the principles of managerial accounting introduced in ACC 220.     "
ACC,323,"ACC 323 - Introduction to Intermediate Accounting2 hrs. Prerequisite(s): A grade of B or better in ACC 200 .     An intensive study of the accounting cycle and related financial statements, with an emphasis on the Balance Sheet and Income Statement.     "
ACC,325,"ACC 325 - Intermediate Accounting I3 hrs. Prerequisite(s): A grade of B or better in ACC 220  and a grade of C or better in ACC 323  and ACC 311 .    An in-depth study of current and long-term assets, including valuation and measurement issues, and revenue recognition.     "
ACC,327,"ACC 327 - Intermediate Accounting II3 hrs. Prerequisite(s): A grade of C or better in ACC 325 .   A continuation of ACC 325 , with a focus on liabilities, equity, and special areas, including cash flow statements, leases, income tax provisions, and earnings per share.     "
ACC,392,"ACC 392 - Accounting Internship3-6 hrs. Prerequisite(s): An accounting and cumulative grade point average of 2.5 or better. In addition, a C or better in ACC 325  and either ACC 327  or ACC 435 .     Students are selected through a competitive process for assignments in approved business or public-sector organizations as interns under the supervision of the internship coordinator and field placement supervisors. Students may receive credit for only one semester, which can be used for elective credit.     "
ACC,407,"ACC 407 - Government and Not-for-Profit Accounting.3 hrs. Prerequisite(s): A grade of C or better in ACC 327 .   The study of government and not-for-profit accounting principles.     "
ACC,409,"ACC 409 - Auditing3 hrs Prerequisite(s): A grade of C or better in ACC 309  and ACC 327 .   An introduction to the financial statement attest function.     "
ACC,435,"ACC 435 - Federal Income Tax Accounting3 hrs. Prerequisite(s): A grade of B or better in ACC 200  and ACC 220  and a grade of C or better in ACC 323 .     Introduction to federal taxation and the basic concepts and applications of federal tax laws, including income, exclusions, deductions, property transactions, and tax credits.  Emphasis is on individual taxation.     "
ACC,480,"ACC 480 - Law in Accounting3 hrs. Prerequisite(s): BA 200 .   A study of selected legal topics relating to credit, financial and accounting practices.     "
ACT,306,"ACT 306 - Architectural Sketching1 hr.    Sketching Architectural buildings and details to further enhance student ability for visual communications.     "
ACT,322,"ACT 322 - History of the Built Environment II3 hrs.    Analysis and evaluation of social, cultural, and political factors and their influence on the evolution of  architectural design from antiquity to modern architecture.     "
ACT,336,"ACT 336 - Architectural Construction Documents3 hrs. Prerequisite(s): AEC 234 .   Development of architectural construction drawings for the design & construction of buildings.     "
ACT,364,"ACT 364 - Architectural Studio II3-6 hrs. Prerequisite(s): ACT 363 .   Study of architectural types; the design of residential, commercial and institutional projects utilizing spatial planning principles, architectural precedents, and programming. Participation architectural excursion is required.     "
ACT,401,"ACT 401 - Architectural Studio IV6 hrs.Fee A special fee is charged for this course. (See Special Fees listing in Student Expenses section.) (All labs are subject to a usage fee.) Prerequisite(s): ACT 400 .   Comprehensive studio focusing on the synthesis of design and construction documents, environmental systems, and design-to-value principles.     "
AEC,132,"AEC 132 - Digital Graphics I3 hrs.    Introduction to the fundamental principles and techniques used to graphically represent architectural content and ideas.     "
AEC,204,"AEC 204 - Materials and Methods of Construction3 hrs.    Properties, characteristics, and utilization of materials used in design and construction of projects.      "
AEC,258,"AEC 258 - Construction Planning and Scheduling3 hrs. Prerequisite(s): AEC 254 .   Identification of construction project objectives and the ordered activity necessary to complete them; durations of project tasks applied to the work plan.     "
AEC,270,"AEC 270 - Statics and Strengths of Materials3 hrs. Prerequisite(s): PHY 111 , PHY 111L , or PHY 201 , PHY 201L .   Study of two-dimensional forces, force equilibrium, stresses, strains, beams and columns.     "
AEC,300,"AEC 300 - Seminar3 hrs.Seminar.    Current issues in construction.     "
AEC,344,"AEC 344 - Structural Design3 hrs. Prerequisite(s): AEC 270 .   Design of structural members utilizing steel, wood, and concrete.     "
AEC,365,"AEC 365 - Estimating II3 hrs. Prerequisite(s): AEC 254 .   Construction project cost estimation and proposal development.     "
AEC,450,"AEC 450 - Building Information Modeling3hrs. Prerequisite(s): AEC 234 .   Study of the management of building information models & data during building life-cycle from conception to occupancy.     "
AEC,480,"AEC 480 - Professional Practice and Construction Law3 hrs.Fee A special fee is charged for this course. (See Special Fees listing in Student Expenses section.) (All labs are subject to a usage fee.) Prerequisite(s): AEC 204 .   Overview of the Project Life Cycle. Special emphasis will be on phases of a project, various types of contracts, methods of specifying, and legal considerations and issues.     "
AEC,492,"AEC 492 - Special Problems1-6 hrs.    Topics in Engineering Technology I.     "
AEC,496,"AEC 496 - Internship1 hr.A minimum of 300 total hours of internship under the direct supervision of industrial professionals in collaboration with Southern Miss faculty.         "
AIS,350,"AIS 350 - Seminar in American Indian Studies3 hrs.    This course is a seminar with variable topics. The course may be repeated when topics vary. Students will propose and research individual projects on Native American themes.     "
ANT,101,"ANT 101 - The Human Experience: A Global Perspective on Human Diversity3 hrs.    Surveys the five major subdisciplines of anthropology (physical anthropology, archaeology, linguistics, social/cultural anthropology and applied anthropology) to provide the student with a holistic understanding of humanity’s social and biological diversity. (CC-SOC 2213)    "
ANT,221,"ANT 221 - Introduction to Cultural & Linguistic Anthropology3 hrs.    A comparative approach to the analysis of human cultural and social diversity. (CC-SOC 2243)    "
ANT,231,"ANT 231 - Introduction to Archaeology and Biological Anthropology3 hrs.    This course focuses on evidence of our biological and cultural advances throughout time. It presents human evolution, including genetics and primates, and discusses major developments in prehistory, such as plant/animal domestication and emergence of states.     "
ANT,331,"ANT 331 - Survey of Archaeological Methods3 hrs.    An examination of the conceptual frameworks and methods by which archaeologists learn about the past.     "
ANT,401,"ANT 401 - Senior Seminar in Anthropology3 hrs. Prerequisite(s): ANT 221 , ANT 231 , ENG 101 , ENG 102  and senior standing.   Capstone course in anthropology, variable content, required for all anthropology majors, limited to anthropology majors.     "
ANT,429,"ANT 429 - Topics in Cultural Anthropology3 hrs.    Variable content. May be repeated three times in separate topical offerings.     "
ANT,445,"ANT 445 - Bioarchaeology3 hrs.    Methods and theories used in interpretation of skeletal and mortuary data in archaeological contexts.     "
ANT,447,"ANT 447 - Nutritional Anthropology3 hrs.    This course will explore the many issues surrounding the production, consumption, and distribution of food both locally and globally, and the evolution of diet and chronic related disease.     "
